"id","facility_name","home_care","facility_type_id","postal_code","prefecture_name","city_name","address","latitude","longitude","telphone","fax","representative","homepage","available_time_mon","available_time_tue","available_time_wed","available_time_thu","available_time_fri","available_time_sat","available_time_sun","person","correspondence_dept","correspondence_time","open_24hours","foreign_language","related_facilities","options","note","publish","user_id","created_at","updated_at"
"273","訪問看護ステーション　いこい","0","4","9010417","沖縄県","島尻郡八重瀬町","外間80番地　","26.177815","127.714589","098-835-7881","098-835-7880","鈴木隆夫","","8：30～17：00","8：30～17：00","8：30～17：00","8：30～17：00","8：30～17：00","8：30～12：30","日曜日・12/31～1/3は休み　/　祝日は8：30～17：00","中本　香","","","0","0","ヘルパーステーションいこい（訪問介護）","小児から高齢者まで幅広いライフステージに対応。24時間緊急連絡体制を整え緊急時に対応し、地域の皆様へ安心し寄り添う看護を提供します。","職員体制（看護師５名）","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"274","訪問看護ステーションゆいゆい","0","4","9010411","沖縄県","島尻郡八重瀬町","友寄901番地１　コーポラス大城102号","26.173679","127.719054","098-998-1868","098-995-9296","野口怜美","","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","","土・日・祝日は休み（原則）　","野口","","","0","0","","","２４時間緊急連絡体制あり。必要に応じて祝日対応可。職員体制：看護師４人","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"275","南部病院　訪問リハビリテーション","0","5","9010362","沖縄県","糸満市","真栄里870番地","26.112119","127.670309","098-994-0501","098-994-0506","城間　寛","http://www.yuuai.or.jp","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","日・祝日・年末年始（12/30～1/3）は休み","喜納聡子","リハビリテーション科","","0","0","豊見城中央病院、介護老人保健施設「友愛園」","","介護予防サービス実施可能。","1","1","2018/1/4 00:00:00","2018/3/14 00:00:00"
"276","とよみ生協病院訪問リハビリテーション","0","5","9010201","沖縄県","豊見城市","字真玉橋５９３番地の１","26.193073","127.687322","098-850-7955","098-850-1829","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"277","豊見城中央病院　訪問リハビリテーション","0","5","9010243","沖縄県","豊見城市","字上田25番地","26.175905","127.676090","098-850-3811","098-850-3810","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/3/14 00:00:00"
"278","医療法人おもと会大浜第二病院","0","5","9010215","沖縄県","豊見城市","字渡嘉敷150番地","26.172711","127.683488","098-851-0103","098-851-0200","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"279","沖縄第一病院　訪問リハビリテーション事業所","0","5","9011111","沖縄県","島尻郡南風原町","字兼城642-1","26.194913","127.725976","098-888-1151","098-889-6615","山元総一郎","","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","休み","休み","山元総一郎","","月～金（8：30～12：30/13：30～17：30）","0","0","沖縄第一病院、訪問看護ステーション","","介護予防サービスの実施可能","1","1","2018/1/4 00:00:00","2018/3/14 00:00:00"
"280","南部徳洲会病院　訪問リハビリテーション","0","5","9010493","沖縄県","島尻郡八重瀬町","字外間171番地1","26.178387","127.715626","098-998-3221","098-998-3220","島田　将尚","http://www.nantoku.org","9：00～17：00","9：00～17：00","9：00～17：00","9：00～17：00","9：00～17：00","9：00～17：00","休み","島田・末吉","リハビリテーション（病院２階）","12：00～13：30","0","0","・病院　・クリニック・特定介護付き有料老人ホーム
・居宅介護支援事業所　・訪問看護ステーション　・通所リハビリテーション事業所　・通所介護","","訪問リハビリにあたっては、作業療法士、言語聴覚士は病院と兼務のため要相談。
介護予防サービスの実施可能。","1","1","2018/1/4 00:00:00","2018/3/14 00:00:00"
"281","ホームヘルパーステーション友愛","0","9","9010362","沖縄県","糸満市","真栄里870","26.112382","127.670956","098-840-3293","098-840-3292","与那嶺薫","http://www.yuuai.or.jp","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","日・祝祭日は休み　※暴風警報発令、バス運休時は休み","与那嶺薫","ホームヘルパーステーション友愛","月～土（8：30～17：30）","0","0","南部病院通所リハンビリテーション友愛会ケアプランセンター南部
友愛会訪問看護ステーション","同事業所内の連携が取りやすいです。","介護予防サービスの実施あり。
24時間、早朝・夜間の対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"282","いとまんシャトー訪問介護センター","0","9","9010325","沖縄県","糸満市","大里927-2","26.135339","127.691729","098-995-2208","098-995-2358","大城初美","http://www.syato.ai-itoman.or.jp/home-care","6：30～21：00","6：30～21：00","6：30～21：00","6：30～21：00","6：30～21：00","6：30～21：00","6：30～21：00　定休日なし","照屋幸子","","月～土（8：30～17：30）","0","1","特別養護老人ホームいとまんシャトー、短期入所生活介護（ショートスティ）いとまんシャトー指定通所介護センター、いとまんシャトー指定居宅介護支援センター","平均年齢はやや高めですが、その分、利用者様の心に寄り添うケアを大切にしています。","介護予防サービスの実施あり。
24時間、早朝・夜間の対応について要相談。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"283","ヘルパーステーション西崎","0","9","9010306","沖縄県","糸満市","西崎町三丁目379番地　1F","26.145524","127.670136","098-994-4418","098-994-6931","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"284","ヘルパーステーションかがやき","0","9","9010315","沖縄県","糸満市","照屋129番地","26.131298","127.681130","098-851-3294","098-851-3295","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"285","訪問介護事業所　珊瑚","0","9","9010364","沖縄県","糸満市","潮崎町4丁目8-13","26.116440","127.663627","098-840-3535","098-840-3381","金城幸則","","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","日曜日は休み　/　祝日はサービス提供あり（8：30～17：30）","与那嶺洋子","訪問介護事業所珊瑚","","0","0","居宅介護支援事業所珊瑚デイサービスセンター珊瑚","和気あいあいとした雰囲気の事業所です。お気軽に相談に訪れて下さい。","介護予防サービスの実施あり。
早朝の対応は可、夜間の対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"286","ヘルパーステーションみなみ","0","9","9010361","沖縄県","糸満市","糸満1796-2","26.126548","127.678922","098-995-1709","098-996-3113","川平惠次郎","http://oki-fukushi.or.jp","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","日曜日、年末年始（12/31～1/3）は休み　/　祝祭日はサービス提供あり（8：30～17：30）","金澤いずみ、金城のり子","ヘルパーステーション","月～金（9：00～17：00）","0","0","居宅介護支援事業所みなみ、デイサービスセンターみなみ有料老人ホームみなみ（5床）、有料老人ホームてるや（9床）
配食サービスみなみ
","障害者総合支援法の事業所指定も受けています。","介護予防サービス提供の実施あり。
早朝・夜間の対応について要相談。
営業時間は8：30～17：30だが、サービス提供は年中無休（6：00～21：00）","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"287","ヘルパーステーション里のガーデン","0","9","9010325","沖縄県","糸満市","字大里623番地７","26.129948","127.689643","098-996-2832","098-996-2846","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"288","訪問介護ステーション　おもととよみの杜","0","9","9010215","沖縄県","豊見城市","渡嘉敷150番地","26.172711","127.683488","098-851-0100","098-851-0200","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"289","桜山荘介護支援ｾﾝﾀｰ豊見城","0","9","9010212","沖縄県","豊見城市","字平良188-23","26.169079","127.694890","098-840-5888","098-840-5666","松岡半七","","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","休み","日曜日は休み　/　祝日はサービス提供あり（8：30～17：30）","松田、比嘉、具志堅、玉寄","","","1","0","介護老人保健施設「桜山荘」　、通所介護、小規模多機能型居宅介護、通所リハビリテーション、認知症対応型生活介護、就労移行、就労継続Ａ・Ｂ事業、児童デイサービス　ほか","24時間・365日サービス提供しています。","介護予防サービスの実施あり。
24時間、早朝・夜間の対応は可能。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"290","ヘルパーステーションみのり","0","9","9010241","沖縄県","豊見城市","豊見城600-1","26.182449","127.681829","098-996-2231","098-996-1216","恩田眞弓","","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","休み","日曜日は休み　/　祝日はサービス提供あり（8：30～17：30）","新海","","月～金（8：30～17：30）","0","0","わかば居宅介護支援事業所、有料老人ホームどんぐりデイサービスふたば、デイサービスゆず、グループホームつぼみ","利用者様の一人一人に寄り添ったケアを心がけています。","介護予防サービスの実施あり。
24時間、早朝・夜間の対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"291","沖縄偕生会ホームヘルパーステーション","0","9","9010244","沖縄県","豊見城市","宜保148番地　仲元マンション101号室","26.178909","127.678465","098-987-9701","098-987-7420","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"292","ヘルパーステーションＨＯＰＥ","0","9","9010243","沖縄県","豊見城市","上田315番地　１Ｆ","26.175061","127.673668","098-856-4512","098-856-4512","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"293","ケアステーション　愛あい","0","9","9010241","沖縄県","豊見城市","豊見城20番地　コーポおおた101号室","26.184952","127.681768","098-996-2983","098-996-2984","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"294","ヘルパーステーションちばる","0","9","9010203","沖縄県","豊見城市","長堂180-29","26.186381","127.708390","098-996-5486","098-996-5487","宮城直美","","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","休み","日・祝祭日、旧盆、年末年始（12/30～1/3）は休み","宮城直美","","","0","0","","自動車有償運送許可を取得しています。","介護予防サービスの実施あり。早朝・夜間の対応について可能。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"295","小谷園指定訪問介護センター","0","9","9011413","沖縄県","南城市","佐敷小谷238番地の１","26.173430","127.763391","098-947-0990","098-947-0993","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"296","訪問介護事業所　栞","0","9","9010606","沖縄県","南城市","玉城糸数672-1","26.155551","127.764605","098-948-1714","098-948-3906","外間さとみ","","0：00～24：00","0：00～24：00","0：00～24：00","0：00～24：00","0：00～24：00","0：00～24：00","0：00～24：00　定休日なし（24時間365日対応）","高良昌美・外間さとみ","","月～金（9：00～18：00）　但し12/31～1/3は休み","0","0","居宅介護支援事業所彩有料老人ホームあがり","医療ケアが必要な方においては、原則、訪問診療、訪問看護等と連携において訪問介護サービス提供が可能。
","介護予防サービスの実施なし。
早朝・夜間の対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"297","南城市社協ヘルパーステーション","0","9","9011206","沖縄県","南城市","大里仲間918","26.175588","127.745184","098-882-8639","098-882-8862","阿嘉広雄","http://www.nanjo-shakyo.com","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","日曜日は休み　","城間、玉城、内間","","","0","0","南城市社協ケアプランセンター南城市社協大里いきいきデイサービスセンター
南城市社協知念デイサービスセンターゆいゆい","利用者に関する情報やサービス提供に当たっての留意事項をメール伝達を行いサービス向上につとめています。
訪問介護員のうち介護福祉士の占める割合が高く研修計画を作成し定期的に実施しています。
登録ヘルパー含め20人、明るく笑顔が多い事業所です。","介護予防サービスの実施あり。
休日、営業時間外については、電話などにより24時間常時連絡が可能な体制です。
24時間対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"298","訪問介護 百十","0","9","9011414","沖縄県","南城市","佐敷字津波古81番地","26.182268","127.771490","098-917-1862","098-917-1863","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"299","訪問介護　ようき","0","9","9011414","沖縄県","南城市","佐敷津波古1354番地1","26.185026","127.773637","098-852-5339","098-947-2339","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"300","しらゆりの園訪問介護ステーション","0","9","9011207","沖縄県","南城市","大里古堅820-1","26.192970","127.740627","098-917-0624","098-917-0654","大山須賀子","http://www.sirayuri.or.jp","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","日曜日、年末年始（12/31～1/2）は休み　/　祝日はサービス提供あり（8：30～17：30）","大城早美","","","1","0","しらゆりの園地域密着型特別養護老人ホームおおざとしらゆりの園デイサービスおおざと","自宅で必要な介護サービスを提供し、利用者様がいつまでも在宅で元気に自分らしく過ごせるよう支援いたします。","介護予防サービスの実施あり。
","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"301","訪問介護ステーション　うりずん","0","9","9011301","沖縄県","島尻郡与那原町","板良敷1281番地１","26.190748","127.769856","098-871-9555","098-944-7003","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"302","ファミリー訪問介護事業所","0","9","9011303","沖縄県","島尻郡与那原町","字与那原3585番地","26.200130","127.758454","098-946-1224","098-946-1210","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"303","ケアネット　ひかり","0","9","9011303","沖縄県","島尻郡与那原町","与那原1145番地2","26.212407","127.759884","098-946-0395","098-946-0332","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"304","琉球ライフ　ヘルパーステーション","0","9","9011303","沖縄県","島尻郡与那原町","与那原70番地　峰アパート102号","26.200401","127.761778","098-988-1933","098-988-1933","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"305","与那原日の出園ホームヘルパーステーション","0","9","9011303","沖縄県","島尻郡与那原町","与那原3782番地の1","26.197736","127.763573","098-946-5138","098-945-3010","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"306","ヘルパーステーションひまわり","0","9","9011304","沖縄県","島尻郡与那原町","字東浜78番地5　ディアフラッツ東浜105号","26.203084","127.763335","098-943-7817","098-943-7821","宇根幹雄","","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","第１土曜日のみ9：00～18：00","日・祝祭日、年末年始（12/29～1/3）は休み","安谷屋花子","ヘルパーステーションひまわり","月～金（9：00～18：00）","0","0","児童デイサービスくろーばー","質の高い支援を提供します。","介護予防サービスの実施あり。早朝・夜間の対応は可能。","1","1","2018/1/4 00:00:00","2018/3/16 00:00:00"
"307","ケアセンター　ちゅらら","0","9","9011303","沖縄県","島尻郡与那原町","字与那原3861","26.199261","127.764803","098-988-9251","098-988-9473","渡邊陽子","","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","9：00～18：00","休み","日・祝祭日は休み（電話などで24時間365日対応可）","渡邊陽子","","","0","0","介護保険サービス、 障がい福祉サービス（居宅、重度、同行援助、移動支援）を行っています。","当社は小さな会社ならではのアットホームな雰囲気、温かいサポートをモットーに提供しています。住み慣れた地域で暮らし続けられるようサポート致します。","介護予防サービスの実施あり。２４時間対応については要相談。
","1","1","2018/1/4 00:00:00","2018/3/19 00:00:00"
"308","沖縄第一病院　訪問介護サービス","0","9","9011111","沖縄県","島尻郡南風原町","兼城642-1","26.194913","127.725976","098-889-8380","098-835-6166","宮城信雄","http://www.odh.or.jp","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","日曜日・祝祭日、年末年始（12/31～1/3）は休み","瑞慶覧　伸","沖縄第一病院訪問介護サービス","","0","0","","","介護予防サービスの実施あり。早朝・夜間の対応については要相談。
訪問介護のご利用時間は相談可能です。","1","1","2018/1/4 00:00:00","2018/3/16 00:00:00"
"309","南風原町社協指定訪問介護事業所","0","9","9011104","沖縄県","島尻郡南風原町","宮平697番地10　　南風原町社会福祉センター","26.191813","127.732659","098-889-3213","098-889-6269","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"310","訪問介護はっぴー","0","9","9011104","沖縄県","島尻郡南風原町","字照屋299-1　桃テラス102号","26.182080","127.725865","098-882-6170","098-882-6171","親川郁子","","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","休み","日・祝祭日、年末年始（12/31～1/3）は休み","崎浜秀哉","","","0","0","併設して訪問看護があり、タイアップしての対応が可。介護タクシーあり。","介護保険、 障がい福祉サービス等の幅広いサービスを実施しています。一度、ご相談ください。","介護予防サービスの実施あり。
24時間対応や早朝・夜間の対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/16 00:00:00"
"311","ケアセンター　野の花","0","9","9011111","沖縄県","島尻郡南風原町","兼城263番地の23","26.196577","127.729659","098-889-3184","098-889-3343","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"312","ヘルパーステーション かなさ","0","9","9011116","沖縄県","島尻郡南風原町","照屋253番地の6東宝ビル19　102号","26.182938","127.725242","098-987-1925","098-987-1926","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"313","ヘルパーステーション　ひかり","0","9","9011117","沖縄県","島尻郡南風原町","津嘉山1613番地の5与座アパート102号","26.186341","127.711951","098-996-1377","098-996-1376","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"314","訪問介護事業所ことぶき","0","9","9011103","沖縄県","島尻郡南風原町","与那覇390番地6､1階","26.199644","127.743616","098-851-3478","098-851-3479","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"315","ヘルパーステーション　いこい","0","9","9010417","沖縄県","島尻郡八重瀬町","外間80","26.177815","127.714589","098-835-7671","098-835-7880","中本　香","","8：30～17：00","8：30～17：00","8：30～17：00","8：30～17：00","8：30～17：00","8：30～17：00","日曜日、年末年始は休み　/　祝日はサービス提供あり（8：30～17：00）","神谷、松原","","","0","0","訪問看護ステーションいこい、南部徳洲会病院","","介護予防サービスの実施（Ｈ30.3月終了）24時間、早朝・夜間の対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/16 00:00:00"
"316","ときわ苑訪問介護ステーション","0","9","9010414","沖縄県","島尻郡八重瀬町","当銘378-1","26.151644","127.698723","098-998-1200","098-998-8099","金城　武","http://tokiwaen.or.jp","7:00～23：00","7:00～23：00","7:00～23：00","7:00～23：00","7:00～23：00","7:00～23：00","7:00～23：00　　","大城浩美、仲村春美","訪問介護ステーション","8：30～17：30","0","0","","","定休日なし（但し、台風時は休み）介護予防サービスの実施あり。
早朝・夜間の対応は可能。","1","1","2018/1/4 00:00:00","2018/3/16 00:00:00"
"317","じーなの会訪問介護ステーション","0","9","9010416","沖縄県","島尻郡八重瀬町","字宜次664番地の1","26.174826","127.718712","098-998-9789","098-998-9791","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"318","転生園指定訪問介護事業所","0","9","9010514","沖縄県","島尻郡八重瀬町","字安里670","26.122628","127.728018","098-998-7652","098-998-7653","幸地　伸","http://tenshoen.or.jp","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","8:30～17：30","日曜日、年始（1/1、1/2）は休み　/　祝日はサービス提供あり（8：30～17：30）","島袋　緑","","月～土（10：00～16：00）","0","0","","介護福祉士の資格がある訪問介護員が対応します。","早朝・夜間の対応については要相談。介護予防サービスの実施あり。","1","1","2018/1/4 00:00:00","2018/3/16 00:00:00"
"319","訪問介護サービス　あしみじ","0","9","9010512","沖縄県","島尻郡八重瀬町","字具志1099-1","26.132068","127.710886","098-998-6680","098-998-6658","森下里美","","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","休み","日曜日は休み　/　祝日はサービス提供あり（8：30～17：30）","大城滝子、小波津美由紀","","8：30～17：30","1","0","","","介護予防サービスの実施あり。早朝・夜間の対応については要相談。","1","1","2018/1/4 00:00:00","2018/3/16 00:00:00"
"320","訪問介護　寿々","0","9","9010406","沖縄県","島尻郡八重瀬町","屋宜原110番地の3　アイニティ（2－Ｄ号室）","26.161458","127.728440","098-835-7470","098-835-7471","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"321","イリーゼ八重瀬訪問介護センター","0","9","9010501","沖縄県","島尻郡八重瀬町","長毛159-1","26.132005","127.754699","098-840-7861","098-840-7862","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"322","ヘルパーステーション新緑の里","0","9","9010401","沖縄県","島尻郡八重瀬町","東風平192番地８","26.150609","127.716463","098-998-4165","098-998-4168","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"323","指定居宅介護支援事業所白寿園","0","7","9010311","沖縄県","糸満市","字武富175番地の1","26.165512","127.693737","098-995-4165","098-995-4165","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"324","居宅支援センター勝連","0","7","9010331","沖縄県","糸満市","字真栄平1026番地","26.115831","127.714566","098-997-3104","098-997-2457","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"325","ひめゆりクリニック指定居宅介護支援事業所","0","7","9010344","沖縄県","糸満市","伊原107番地の１","26.094737","127.684739","098-997-3702","098-997-3703","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"326","特別養護老人ﾎｰﾑ沖縄偕生園","0","7","9010341","沖縄県","糸満市","字小波蔵321番地","26.107350","127.668765","098-852-4100","098-852-4104","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"327","居宅介護支援センター寿","0","7","9010362","沖縄県","糸満市","真栄里323番地","26.117818","127.670959","098-992-5375","098-995-1536","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"328","居宅介護支援事業所あかり","0","7","9010361","沖縄県","糸満市","糸満１５０５番地の３","26.125723","127.674386","098-995-3774","098-995-1371","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"329","友愛会ケアプランセンター南部","0","7","9010362","沖縄県","糸満市","真栄里８７０番地","26.112382","127.670956","098-852-3007","098-840-3292","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"330","居宅介護支援西崎","0","7","9010306","沖縄県","糸満市","西崎町三丁目379番地　1F","26.145524","127.670136","098-994-4418","098-994-6931","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"331","居宅介護支援　ピンク","0","7","9010302","沖縄県","糸満市","字潮平６３２番地の３","26.144830","127.673377","098-894-5484","098-894-5493","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"332","居宅介護支援センター　てぃんがーら","0","7","9010315","沖縄県","糸満市","照屋807番地コーポカトレア1階","26.132469","127.684241","098-851-3786","098-851-3786","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"333","いとまんシャトー指定居宅介護支援センター","0","7","9010325","沖縄県","糸満市","大里927番地の２","26.135339","127.691729","098-995-2208","098-995-2358","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"334","まつの木ケアプランセンター","0","7","9010303","沖縄県","糸満市","兼城618番地","26.135578","127.670722","098-995-3719","098-995-3719","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"335","居宅介護支援事業所　珊瑚","0","7","9010364","沖縄県","糸満市","潮崎町四丁目8-13","26.116440","127.663627","098-840-3535","098-840-3381","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"336","ケアプランセンター　いずみ","0","7","9010315","沖縄県","糸満市","照屋1258番地１","26.133028","127.686866","098-994-2222","098-994-2225","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"337","居宅介護支援事業所みなみ","0","7","9010361","沖縄県","糸満市","糸満1796番地の２","26.126554","127.678961","098-995-6433","098-995-1702","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"338","居宅介護支援事業所いちまん","0","7","9010362","沖縄県","糸満市","真栄里2045番地２","26.119654","127.669920","098-996-1295","098-996-1296","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"339","うの花　居宅介護支援事業所","0","7","9010361","沖縄県","糸満市","糸満989-11","26.129081","127.668178","098-996-4911","098-996-4922","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"340","沖縄医療生活協同組合　とよみ生協病院指定居宅介護支援事業所","0","7","9010201","沖縄県","豊見城市","字真玉橋５９３番地の1","26.193073","127.687322","098-850-7951","098-856-0400","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"341","ケアプランサービス養生の里","0","7","9010231","沖縄県","豊見城市","字我那覇291番地の25B-1","26.183846","127.672773","098-856-5836","098-850-3125","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"342","平成苑居宅介護支援事業所","0","7","9010235","沖縄県","豊見城市","字名嘉地217番地の2","26.174355","127.664369","098-856-7222","098-856-5581","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"343","居宅介護支援事業所おもととよみの杜","0","7","9010215","沖縄県","豊見城市","字渡嘉敷150番地","26.172711","127.683488","098-851-0123","098-851-0200","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"344","良長園指定居宅介護支援事業所","0","7","9010204","沖縄県","豊見城市","字金良88番地","26.179467","127.703519","098-850-1202","098-850-1362","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"345","合資会社ひかり指定居宅介護支援事業所","0","7","9010212","沖縄県","豊見城市","字平良145番地の3102号","26.167718","127.694743","098-851-4637","098-851-4583","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"346","桜山荘介護支援専門員センター","0","7","9010212","沖縄県","豊見城市","平良188番地23","26.169079","127.694890","098-996-2510","098-996-2512","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"347","居宅介護支援サービス　かがやき","0","7","9010213","沖縄県","豊見城市","高嶺３２２番地","26.166912","127.695598","098-850-2566","098-850-2568","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"348","わかば居宅介護支援事業所","0","7","9010241","沖縄県","豊見城市","豊見城６００番地１","26.182449","127.681829","098-850-5516","098-996-1216","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
"349","居宅介護支援事業所とよさき","0","7","9010223","沖縄県","豊見城市","字翁長８６９番地　１階","26.161148","127.666877","098-891-6982","098-891-6566","","","","","","","","","","","","","0","0","","","","1","1","2018/1/4 00:00:00","2018/2/13 00:00:00"
