"名前","住所","緯度","経度"
"りゅうしん指定訪問介護事業所","名護市屋部468-1",,
"桃源の郷ヘルパーステーション","名護市大西3-19-25",,
"かりゆしぬ村　指定訪問介護事業所","名護市宇茂佐1873-1",,
"北部ケアサービス","名護市宇茂佐915-10",,
"ヘルパーステーション　浅茅の里","名護市宮里1-6-23",,
"居宅介護サービス事業所　まごころ","名護市振慶名213-1",,
"わかば訪問介護支援事業所","名護市川上45",,
"トータルリハビリ・ケアサービス　ゆらぎ訪問介護事業所","名護市川上424-1　1F",,
"ケアパートナー　こころ","名護市伊差川488-4",,
"名護厚生園指定訪問介護事業所","名護市宮里5-4-29",,
"たんぽぽ訪問介護サービス","名護市為又1219-277",,
"沖縄県農業協同組合　北部訪問介護事業所","名護市屋部1698-1",,
"ヘルパーステーション　ひびき","名護市親川121",,
"あかりヘルパーステーション","名護市大北3-3-18",,
"訪問介護ふくらしゃ","名護市豊原224-49",,
"やんばるヘルパーステーション","名護市宇茂佐1737",,
"訪問介護日廻り","名護市港2-7-1",,
"ヘルパーステーションふたみ","名護市二見241-7",,
"ヘルパーステーションみやび","名護市親川430",,
"ケアパートナーおきなわ","名護市宇茂佐1709-110",,
"訪問介護センター彩風の杜なご","名護市大南2-8-2　102号",,
"ヘルパーステーションあかがーら","名護市名護4558-48　2F",,
"ヘルパーステーションゆいゆい","名護市大南2-9-3　101号",,
"北斗園　デイサービスセンター","国頭郡国頭村辺土名1692",,
"楚洲あさひの丘　デイサービスセンター","国頭郡国頭村楚洲517",,
"デイサービス　浜の家","国頭郡国頭村浜96",,
"デイサービスセンター　やんばる","国頭郡大宜味村津波1971-35",,
"デイサービス　おおぎみ","国頭郡大宜味村津波419-9",,
"デイサービス　おおぎみ　トレーニングリハビリ","国頭郡大宜味村津波588",,
"乙羽園デイサービスセンター","国頭郡今帰仁村天底222",,
"今帰仁村社協　指定通所介護事業所","国頭郡今帰仁村天底62",,
"デイサービス　ほしくぼ","国頭郡今帰仁村勢理客243-7",,
"さくらの里　デイサービス","国頭郡今帰仁村今泊344-1",,
"デイサービス　ハイビスカス","国頭郡今帰仁村今泊3933",,
"デイサービス　わら美","国頭郡今帰仁村崎山1263",,
"本部町社協　デイサービスセンター","国頭郡本部町大浜881-４",,
"老人デイサービスセンター　本部園","国頭郡本部町谷茶301　",,
"通所介護事業所　大空","国頭郡本部町山里427",,
"通所介護事業所　あづま家","国頭郡本部町東446-1",,
"通所介護事業所　とうばる","国頭郡本部町豊原11-1",,
"糸　通所介護事業所","国頭郡本部町北里1309",,
"デイサービス　美らさ","国頭郡本部町谷茶452-1",,
"きずなエイジングけあ　通所介護事業所","国頭郡本部町山川1033-1",,
"デイサービス　ローズホーム","国頭郡本部町野原482-1",,
"中央外科通所介護事業所","名護市城1-1-12",,
"桃源の郷　デイサービスセンター","名護市大西3-19-25",,
"特別養護老人ホームかりゆしぬ村　デイサービスセンター","名護市宇茂佐1873-1",,
"デイサービスセンター二見の里","名護市二見241-7",,
"ケア付き宅老所　浅茅の里","名護市宮里1-6-23",,
"通所介護事業所　羽地苑","名護市我部祖河829",,
"かりゆしぬ村　デイサービス大南","名護市大南2-4-5　1F",,
"指定通所介護事業所　まごころのデイサービス","名護市川上831",,
"名護リハビリケアセンター","名護市川上424-1　1F",,
"JAおきなわ北部デイサービスセンター","名護市屋部1698-1",,
"りゅうしん大東指定通所介護事業所","名護市大東3-20-14",,
"デイサービス　うむさの森","名護市宇茂佐の森1-4-2",,
"デイサービス稲田","名護市我部祖河91-1",,
"デイサービス手水の園","名護市許田201-11",,
"リハビリ特化型デイサービス　カラダラボ名護為又","名護市為又856-10",,
"デイサービス宙伸みやざと","名護市宮里448-6　1F",,
"デイサービス　シャローム名護","名護市旭川778-3",,
"北部ケア通所介護事業所","名護市宇茂佐915-10",,
"地域密着型介護事業所　さくらの郷","名護市大北3-6-8　1F",,
"デイサービス　海山郷","名護市大北5-17-21",,
"指定通所介護事業所　瑞穂の郷","名護市親川571",,
"らいふデイサービス","名護市大南1-10-18　103号",,
"医療法人タピック　デイサービスやんばる","名護市宇茂佐1737",,
"デイサービス　ささえ","名護市東江4-8-7　103号",,
"デイサービス久志交じり","名護市三原252-5",,
"デイサービスてぃださん","名護市為又507-64",,
"デイサービス　Cee Port（シーポート）","名護市数久田295-5",,
"ハッスル・マッスル　デイサービス","名護市東江1-25-14　102号",,
"デイサービスやがじ","名護市饒平名737-2",,
"デイサービスなまからどー","名護市大東1-15-16",,
"通所介護　ほしくぼ","国頭郡今帰仁村湧川1578-3　",,
"デイサービス　かるすと","国頭郡本部町豊原262-4",,
"認知症通所介護ひだまり","名護市大西3-19-42",,
"和光園　通所リハビリテーション事業所","国頭郡今帰仁村今泊280",,
"博寿会通所リハビリテーション事業所","国頭郡本部町石川988",,
"うりずんでいけあ","名護市宮里1004",,
"大北内科通所リハビリテーション","名護市大北3-1-48",,
"スポーク・クリニック","名護市字屋部117",,
"医療法人　詠山会　デイケアふたば","名護市宇茂佐1746-6",,
"桃源の郷通所リハビリテーション　","名護市大西3-19-25",,
"勝山病院　短時間通所リハビリテーション","名護市屋部468-1",,
"介護老人保健施設あけみおの里　通所リハビリテーション","名護市屋部468-1",,
"もとぶ記念病院　ニライ会","国頭郡本部町石川972",,
"宮里病院　重度認知症患者デイケア","名護市宇茂佐1763-2",,
"小規模多機能型居宅介護事業所　あがり","国頭郡東村慶佐次727-8",,
"小規模多機能ホーム　いっしん","国頭郡大宜味村津波418",,
"シゲルハスウス　SHIGERU・HOUSE","国頭郡今帰仁村天底334-1",,
"どりーむはうす","国頭郡本部町大浜850-5",,
"小規模多機能型居宅介護事業所さざなみ","名護市瀬嵩12-2",,
"グループホーム　きじょか","国頭郡大宜味村喜如嘉2087",,
"グループホーム　ほしくぼ","国頭郡今帰仁村湧川1578-3　",,
"グループホーム　わくがわ","国頭郡今帰仁村湧川1578-2",,
"グループホーム　らんらん","国頭郡今帰仁村崎山128-4",,
"グループホーム　かるすと","国頭郡本部町豊原262-4",,
"グループホーム　もとぶ","国頭郡本部町豊原262-1",,
"かりゆしぬ村　グループホーム　くつろぎ","名護市宇茂佐1873-1",,
"グループホーム　ひだまり","名護市大西3-19-42",,
"グループホーム　こころの里","名護市伊差川1054",,
"グループホーム　いがしま","名護市久志192",,
"介護老人保健施設　和光園","国頭郡今帰仁村今泊280",,
"介護老人保健施設　もとぶふくぎの里","国頭郡本部町石川988",,
"介護老人保健施設　あけみおの里","名護市字屋部468-1",,
"介護老人保健施設　桃源の郷","名護市大西3-19-25",,
"北斗園　特別養護老人ホーム","国頭郡国頭村辺士名1692",,
"特別養護老人ホーム　やんばるの家","国頭郡大宜味村津波1971-35",,
"特別養護老人ホーム　本部園","国頭郡本部町谷茶310",,
"在宅複合型施設　羽地苑","名護市我部祖河829",,
"特別養護老人ホーム　乙羽園","国頭郡今帰仁村天底222",,
"介護老人福祉施設　かりゆしぬ村","名護市宇茂佐1873-1",,
"名護厚生園指定介護老人福祉施設","名護市宮里5-4-29",,
"指定地域密着型介護老人福祉施設　瑞穂の郷","名護市親川571",,
"北山病院","国頭郡今帰仁村今泊280",,
"医療法人タピック　宮里病院","名護市宇茂佐1763-2",,
"有限会社ハイール　有料老人ホーム第一きんせいハウス","国頭郡国頭村浜96　2F",,
"宅老所ひがし","国頭郡東村川田789",,
"宅老所しまなさけ","国頭郡大宜味村津波1971-487",,
"有料老人ホーム　おおぎみ","国頭郡大宜味村津波419-9　2F",,
"有料老人ホーム　セイブ","国頭郡大宜味村津波1475-1",,
"有料老人ホーム　湧川","国頭郡今帰仁村湧川1578-2",,
"宅老所　ハイビスカス","国頭郡今帰仁村今泊3933",,
"イリーゼ今帰仁","国頭郡今帰仁村湧川571-1",,
"有料老人ホーム　とうばるの里","国頭郡本部町豊原11-1",,
"有料老人ホーム　ときわ","国頭郡本部町谷茶366-1",,
"かりゆしぬ村　シルバーハウス　ゆりのさと","名護市大東1-16-17",,
"かりゆしぬ村　居宅支援ハウス　のぞみ","名護市宮里518-2",,
"かりゆしぬ村　シルバーハウス　アンジェラ","名護市宇茂佐1705-1",,
"生活支援ハウス　前ぬ浜","名護市瀬嵩12-1",,
"コミュニティケアハウスたから","名護市宇茂佐の森1-15-8",,
"有料老人ホーム　手水の園","名護市許田201-11",,
"高齢者ハウス　りゅうしん","名護市大東3-20-14",,
"グループハウス　たんぽぽ","名護市宇茂佐919-7　2F",,
"ライフサポートこころの家","名護市伊差川1056-3",,
"有料老人ホーム　てぃだかん館","名護市為又507-64",,
"有料老人ホーム　なまからどー","名護市我部祖河214-1",,
"宅老所ひるぎ","名護市饒平名131-2",,
"有料老人ホーム　響の家","名護市川上254-1",,
"宅老所　さくら","名護市大北3-6-10",,
"有料老人ホーム　ふれ愛","名護市世冨慶536-1　1F",,
"有料老人ホーム　華みやび","名護市親川120-1",,
"シェアハウス　ゆくり","名護市大東1-5-21",,
"有料老人ホーム　 城の里","名護市城2-16-12",,
"ケア付シェアハウス楽笑家","名護市大東2-9-12　101号",,
"ケア付シェアハウス楽笑家・新館","名護市大東2-10-2",,
"ケア付シェアハウス楽笑家・別館","名護市大東2-9-16",,
"有料老人ホーム　ニライカナイ","名護市宇茂佐1763-2",,
"住宅型有料老人ホーム　シャローム名護","名護市旭川778-3",,
"さくらの里","国頭郡今帰仁村今泊344-1",,
"グリーンハウス　天底","国頭郡今帰仁村天底335",,
"有料老人ホーム　大地","国頭郡本部町山里427",,
"あかがーら","名護市名護4558-48",,
"ラ・ペジーブル名護","名護市宇茂佐1737",,
"ケアリゾートうむさの森","名護市宇茂佐の森1-4-2",,
"国頭村立診療所","国頭郡国頭村辺土名1437",,
"東村立診療所","国頭郡東村平良804",,
"大宜味村立診療所","国頭郡大宜味村塩屋1306-62",,
"今帰仁診療所","国頭郡今帰仁村謝名139",,
"北山病院","国頭郡今帰仁村今泊280",,
"もとぶ記念病院","国頭郡本部町石川972",,
"もとぶ野毛病院","国頭郡本部町大浜880-1",,
"やまだクリニック","国頭郡本部町大浜874-15",,
"アイクリニック敬愛","名護市宮里6-4-21",,
"赤嶺内科","名護市大北1-5-11",,
"あがりえクリニック","名護市大東1-5-34",,
"あき内科クリニック","名護市宇茂佐919-7　1F",,
"新垣耳鼻咽喉科","名護市宮里453-7",,
"伊差川整形外科","名護市伊差川309-1",,
"うりずん診療所","名護市宮里1004",,
"運天産婦人科医院","名護市大3-1-5",,
"大北内科･胃腸科クリニック","名護市大北3-1-48",,
"おおにし医院","名護市城2-10-16",,
"大宮医院","名護市宮里3-1-20",,
"かじまやリゾートクリニック","名護市宮里518-2",,
"勝山病院","名護市屋部468-1",,
"儀保小児科･内科医院","名護市大西2-4-32",,
"久志診療所","名護市三原64-7",,
"クリニック和睦","名護市名護4558-48",,
"さくら眼科","名護市伊差川310-1",,
"スポーク・クリニック","名護市屋部117",,
"名護療育医療センター附属　育ちのクリニック","名護市大東2-23-30",,
"たいようのクリニック","名護市大西3-15-1",,
"たいら内科クリニック","名護市宮里6-8-7",,
"たまき産婦人科","名護市大北5-3-4",,
"ちはる眼科","名護市宮里6-8-7",,
"中央外科","名護市城1-1-12",,
"ちゅら海クリニック　(腎臓病医療センター)","名護市宇茂佐1710-25",,
"辻眼科","名護市宮里1-26-11",,
"なかち泌尿器科クリニック","名護市大5-4-50",,
"名嘉眞皮膚科","名護市大東1-10-13",,
"名護記念クリニック","名護市宮里7-22-35",,
"名護市屋我地診療所","名護市饒平名460-1",,
"名護皮ふ科","名護市大北1-2-34",,
"なごみ医院","名護市大東1-15-6",,
"名護療育医療センター","名護市宇茂佐1765",,
"ひだか脳神経外科","名護市宇茂佐1746-6",,
"平安山医院","名護市宇茂佐1702-1",,
"北部皮フ科クリニック","名護市大北3-9-7",,
"北部山里クリニック","名護市大南2-12-26",,
"宮里病院","名護市宇茂佐1763-2",,
"みみ・はな・のど　ゆいクリニック","名護市大北5-22-25",,
"メンタルクリニックやんばる","名護市宇茂佐の森1-2-9",,
"やんばる協同クリニック","名護市大北5-3-2",,
"ゆうクリニック","名護市宇茂佐の森1-1-5",,
"よなみね内科クリニック","名護市宇茂佐1705-25",,
"北部地区医師会病院　","名護市宇茂佐1712-3",,
"北部地区医師会附属病院","名護市宇茂佐1710-9",,
"国頭村立東部へき地診療所","国頭郡国頭村安田170",,
"沖縄県立北部病院","名護市大2-12-3",,
"小堂小児科内科医院","名護市伊佐川125-1",,
"大兼久医院","名護市城1-1-13",,
"シーサークリニック","名護市宮里5-15-15　1F",,
"琉球未来クリニック","名護市宇茂佐の森5-5-8",,
"上原薬局","国頭郡国頭村辺土名215-1",,
"くにがみ薬局","国頭郡国頭村辺土名139",,
"ふる里薬局","国頭郡大宜味村塩屋1306-63",,
"謝名薬局","国頭郡今帰仁村謝名443-3",,
"大見薬局　大浜店","国頭郡本部町大浜874-2",,
"ふく薬局　もとぶ店","国頭郡本部町大浜880-4",,
"もとぶ薬局","国頭郡本部町大浜880-3",,
"名護薬局","名護市城1-1-3",,
"なかむら薬局","名護市大東2-23-27",,
"辺土名薬局","名護市宮里1-21-11",,
"オギドウ薬局","名護市宮里453-6",,
"池宮薬局","名護市伊差川67",,
"伊差川薬局","名護市伊佐川274",,
"ハーモニー薬局","名護市宮里6-2-9",,
"しろがね薬局","名護市宮里1006-1",,
"まるよし薬局","名護市大北1-5-6",,
"ふく薬局　うむさ店","名護市宇茂佐1760-1",,
"すこやか薬局　大北店","名護市大北1-2-36",,
"北部地区薬剤師会会営薬局","名護市宇茂佐1712-17",,
"ナゴラン薬局","名護市宇茂佐の森1-1-7",,
"サンキュウファーマシー　うむさ店","名護市宇茂佐1758-1",,
"ハーモニー薬局　大宮店","名護市宮里3-1-9　1F",,
"さくら薬局　ICHI","名護市大北3-5-2　101号",,
"クイック調剤薬局　名護店","名護市大北5-22-26",,
"大北健康堂薬局","名護市大北3-1-63",,
"健康堂薬局","名護市城1-2-24",,
"たまき薬局","名護市大西3-15-4",,
"ゆい大東薬局","名護市大東1-15-7",,
"ふく薬局　なご店","名護市宮里6-8-36",,
"屋嘉比薬局","名護市城2-1-28",,
"ぱいん薬局　おおひがし店","名護市大東1-5-26",,
"病院前薬局","名護市大東3-21-22",,
"クイック調剤薬局　名護バスターミナル前店","名護市宇茂佐919-7",,
"名護中央薬局　城店","名護市城2-10-14",,
"名護中央薬局　大中店","名護市大5-4-47",,
"屋我地薬局","名護市饒平名465-1",,
"神山薬局名護","名護市大東1-1-8",,
"サンキュウファーマシー　名護店","名護市大北5-3-6",,
"国頭村立辺土名歯科診療所","国頭郡国頭村辺土名1458",,
"のと歯科","国頭郡国頭村辺土名2141-1",,
"東村歯科診療所","国頭郡東村平良550",,
"大宜味村立歯科診療所","国頭郡大宜味村塩屋987-3",,
"おっぱ歯科医院","国頭郡今帰仁村謝名621-1",,
"北山歯科医院","国頭郡今帰仁村仲宗根279-4",,
"美ら海デンタルクリニック","国頭郡今帰仁村謝名159",,
"金城歯科医院","国頭郡本部町渡久地142-1",,
"もとぶ歯科医院","国頭郡本部町大浜858-8",,
"本部マリン歯科","国頭郡本部町渡久地799-1",,
"らいおん歯科","国頭郡本部町渡久地231",,
"あさと歯科医院","名護市宮里7-4-14",,
"あらさき歯科クリニック","名護市大北5-22-25",,
"オアシス歯科医院","名護市東江1-25-14　1F",,
"おおきた歯科","名護市大北1-1-34　1F",,
"がなは歯科","名護市大西1-1-1　2F",,
"キラリ・デンタルケアクリニック","名護市城2-10-20　1F",,
"くまがい歯科クリニック","名護市宇茂佐の森4-7-10",,
"グリーンデンタルクリニック","名護市大西4-4-14",,
"こうげん歯科医院","名護市宮里1-1-52",,
"歯科口腔外科クリニック","名護市城1-1-19",,
"とおる歯科","名護市大南1-10-12　南進ビル2F",,
"とよはら歯科医院","名護市豊原169-1",,
"名嘉真歯科医院","名護市大東1-11-15",,
"ながた歯科医院","名護市宮里1-28-8　3F",,
"名護カムカム歯科医院","名護市伊差川7",,
"なごみの森歯科","名護市名護4558-53",,
"ハート歯科","名護市大北5-2-3　2F",,
"パール歯科クリニック","名護市東江4-6-17",,
"羽地歯科医院","名護市伊差川313-1",,
"ひで歯科クリニック","名護市伊差川514　1F",,
"まきや歯科医院","名護市大東1-18-11　1F",,
"正和歯科","名護市大東1-14-17",,
"宮里歯科医院","名護市大東3-21-22",,
"役所前歯科医院","名護市宮里445-6　101号",,
"やんばる歯科医院","名護市大北1-23-2",,
"よなみね歯科","名護市宮里6-1-8　１F",,
"住宅型有料老人ホーム　ゆたか","糸満市字武富98番地",,
"サンテラス西崎","糸満市西崎町3丁目379番地",,
"住宅型有料老人ホーム　フェアネス城","島尻郡南風原町与那覇531番地　2階、3階",,
"住宅型有料老人ホーム　ゆうらく寿","豊見城市豊見城1007番地24",,
"住宅型有料老人ホーム　上田てぃんさぐの丘","豊見城市字上田234番地1",,
"サービス付き高齢者向け住宅ゆいまーるの丘","島尻郡八重瀬町後原1194",,
"はえばる北クリニック","島尻郡南風原町字与那覇２８３番地",,
"比嘉胃腸科内科","島尻郡南風原町照屋３６２番地3",,
"ロコモクリニック南城","南城市玉城字船越９４９ー４",,
"みやぎ内科","豊見城市翁長８６９",,
"南城つはこクリニック","南城市佐敷字津波古４３３番地",,
"もりクリニック","豊見城市宜保２９３番地1　201号",,
"糸満協同診療所","糸満市潮崎２丁目１番地１０",,
"中村内科胃腸科","島尻郡八重瀬町字具志１５４－９",,
"スマイル歯科※会員施設","うるま市高江洲１０８０－１スマイルビル　２Ｆ",,
"米須歯科医院※会員施設","沖縄市松本４－１８－２",,
"松川歯科医院※会員施設","沖縄市泡瀬４－３９－５松川コミュニティビル１Ｆ",,
"エンゼル歯科※会員施設","宜野湾市字宇地泊２６５－１",,
"まつしま歯科医院※会員施設","中頭郡北谷町美浜１－１－１０",,
"伊熊歯科","中頭郡西原町字呉屋１０８－２",,
"パーク歯科※会員施設","うるま市みどり町１－１－６",,
"かわい歯科医院","うるま市みどり町４－１２－２５",,
"医療法人仁陽会　ファミリー歯科クリニック※会員施設","うるま市みどり町５－３－１１",,
"みどり町さくら歯科医院","うるま市みどり町６－２－１６",,
"あおば歯科クリニック※会員施設","うるま市安慶名３８５－２",,
"医療法人社団秋桜会ファーストデンタルクリニックうるま","うるま市安慶名1-2-18",,
"レーヴ歯科クリニック","うるま市安慶名二丁目２０番９号　新垣第一ビル１Ｆ",,
"つばさ歯科クリニック※会員施設","うるま市喜屋武５６５",,
"仲真歯科医院※会員施設","うるま市喜屋武６９４－３",,
"金城歯科医院※会員施設","うるま市喜仲１－７－１９",,
"うるまデンタルクリニック","うるま市江洲４５７－１－３Ｆ",,
"医療法人　花の城会　愛の里歯科診療所※会員施設","うるま市江洲５２２番地１９",,
"なかま歯科室","うるま市江洲５９８－４おきなわ未病ケアセンター　１Ｆ",,
"ふたば歯科クリニック","うるま市高江洲１０２９番地３　上原マートビル２Ｆ",,
"スマイル歯科※会員施設","うるま市高江洲１０８０－１スマイルビル　２Ｆ",,
"スマート歯科クリニック","うるま市字具志川３００８－１",,
"うるま中央歯科医院※会員施設","うるま市字前原３０３ジャスコ具志川店　１Ｆ",,
"スター歯科クリニック","うるま市字豊原下口原７５０",,
"与勝ホワイト歯科医院","うるま市勝連南風原４０２５－１",,
"藏當歯科医院※会員施設","うるま市勝連平安名１４９８－１",,
"幸一デンタルオフィス※会員施設","うるま市石川１－４７－２６",,
"銀座歯科医院 ※会員施設","うるま市石川一丁目４番２号",,
"当山歯科医院※会員施設","うるま市石川曙２－２－１５",,
"エース歯科クリニック","うるま市石川東恩納６２の２",,
"わかば歯科医院","うるま市石川東恩納７３３",,
"なごみ歯科クリニック","うるま市石川東山１－２１－１３",,
"医療法人社団健耕会　ゆいまーる歯科","うるま市石川二丁目１０番１７号１階Ｂ号室",,
"石川歯科医院※会員施設","うるま市石川二丁目２１－５",,
"のは歯科クリニック ※会員施設","うるま市石川白浜１－２－３",,
"福岡歯科医院※会員施設","うるま市石川白浜２－９－１２",,
"医療法人　右納の会　ちねん歯科医院※会員施設","うるま市大田８６７－１０",,
"たなか歯科医院","うるま市田場１８１７－１",,
"野原歯科医院※会員施設","うるま市平良川９７－８",,
"しおみ歯科医院※会員施設","うるま市与那城１２２－１",,
"ほんだ歯科","うるま市与那城９４－１－２Ｆ",,
"屋慶名歯科医院","うるま市与那城屋慶名１１０３",,
"かりゆし歯科","沖縄市安慶田２－２４－５２",,
"ふくち歯科医院","沖縄市園田１－１５－２４",,
"金城歯科医院※会員施設","沖縄市海邦２－１－２９",,
"照屋歯科医院※会員施設","沖縄市久保田３－１－１２",,
"東歯科医院","沖縄市宮里１－１５－８",,
"とぐち歯科 ※会員施設","沖縄市宮里四丁目２番１０号",,
"あきの歯科医院","沖縄市宮里二丁目２５番３号",,
"Ｋデンタルオフィス","沖縄市古謝２丁目２０番１号",,
"クリスタル　デンタル　クリニック","沖縄市古謝９７７－１１　メゾン美希１Ｆ",,
"なかわか歯科医院※会員施設","沖縄市古謝津嘉山町２８番７号",,
"室川ファミリー歯科※会員施設","沖縄市胡屋１－２－１",,
"みんなの歯医者さん※会員施設","沖縄市胡屋２－１６－２",,
"比嘉デンタルクリニック※会員施設","沖縄市胡屋４－６－１１",,
"のぞみ歯科クリニック","沖縄市胡屋４丁目１４番２８号",,
"あさと歯科クリニック ※会員施設","沖縄市高原1-11-9　名嘉真ﾏﾝｼｮﾝ1F",,
"村山歯科クリニック※会員施設","沖縄市高原４－２０－３７",,
"ちむわざ歯科※会員施設","沖縄市高原５－３－７高江第３ビル１Ｆ",,
"ヒロ歯科クリニック※会員施設","沖縄市高原５－９－３２",,
"玉城歯科医院 ※会員施設","沖縄市高原５丁目１番１８号",,
"カントリー歯科クリニック※会員施設","沖縄市高原６丁目１３番６号",,
"おおにし歯科医院 ※会員施設","沖縄市山内２－７－１９",,
"ももやま歯科クリニック","沖縄市山内３－９－１０",,
"コザ歯科クリニック※会員施設","沖縄市山内４丁目１４番７号",,
"いしみね歯科クリニック ※会員施設","沖縄市山里２－２－９",,
"宮城歯科クリニック※会員施設","沖縄市山里２－７－２おおやまビル　２Ｆ",,
"なかむら歯科※会員施設","沖縄市室川２－３３－２０",,
"こうち歯科医院※会員施設","沖縄市住吉１－２－２６住吉ビル　２Ｆ",,
"諸見歯科医院※会員施設","沖縄市諸見里３－４７－２６",,
"ともよせ歯科※会員施設","沖縄市松本１－４－９",,
"うしお歯科クリニック","沖縄市松本２－１４－３０",,
"そら歯科クリニック※会員施設","沖縄市松本８８７－２　１Ｆ",,
"みやくに歯科","沖縄市照屋２－２２－２７",,
"医療法人　敬真会　大城歯科医院 ※会員施設","沖縄市照屋５－１９－６　2階",,
"中の町ホワイト歯科医院※会員施設","沖縄市上地二丁目９番１号２Ｆ",,
"大田歯科クリニック","沖縄市城前町１５－３",,
"まぁる歯科医院 ※会員施設","沖縄市知花１丁目２７－２０",,
"ひまわり歯科","沖縄市知花６－１－３６",,
"中頭歯科診療室※会員施設","沖縄市知花６－２５－１５コンシュル知花２Ｆ",,
"Ｔａｋｅｓｈｉｍａ　Ｄｅｎｔａｌ　Ｏｆｆｉｃｅ","沖縄市知花６丁目８番２１号",,
"くろしま歯科クリニック ※会員施設","沖縄市央１－２４－８",,
"げんき歯科矯正クリニック","沖縄市央１－３６－１３－２Ｆ",,
"みきお歯科医院 ※会員施設","沖縄市登川１－１３－１９",,
"北美歯科クリニック","沖縄市登川７０１－１",,
"医療法人福木会　カムカム歯科医院","沖縄市東二丁目２５番５号",,
"へしき歯科　小児歯科","沖縄市比屋根２－８－１２",,
"歯のお医者さん ※会員施設","沖縄市美原１－２０－１１",,
"とけし歯科クリニック ※会員施設","沖縄市美原２－１８－１",,
"ＳＭＩＬＥ　ＤＥＳＩＧＮ　美里歯科医院 ※会員施設","沖縄市美原４－４－２",,
"サクラ　デンタルクリニック","沖縄市美原４－７－９",,
"まえかわ歯科医院 ※会員施設","沖縄市美原４丁目２番２号",,
"ひらた歯科クリニック","沖縄市美原一丁目１１番２８号",,
"くでけん歯科 ※会員施設","沖縄市美里５丁目８番２８号",,
"しょきた歯科医院","沖縄市泡瀬４－２３－１０",,
"グリーン歯科医院","沖縄市泡瀬４－２４－２２",,
"松川歯科医院※会員施設","沖縄市泡瀬４－３９－５松川コミュニティビル１Ｆ",,
"ハート歯科※会員施設","沖縄市泡瀬４－４－１　２Ｆ",,
"イオンタウンあわせ歯科","沖縄市泡瀬４－５－７泡瀬店１階",,
"たけしま歯科・小児歯科※会員施設","沖縄市沖繩市知花１丁目２５番１１号",,
"あいち歯科クリニック","宜野湾市愛知一丁目２番１５号登川ビル２Ｆ",,
"ラッキーデンタ・ランド歯科クリニック※会員施設","宜野湾市愛知一丁目５番１５号比嘉ファッションビル　２Ｆ",,
"花城歯科※会員施設","宜野湾市伊佐３－２－１",,
"なかざと歯科医院 ※会員施設","宜野湾市宇地泊７０１番地ＮＤビル２階",,
"山川歯科医院","宜野湾市嘉数４－２６－１０ヤマカワビルアネックス",,
"セルージュデンタルクリニック※会員施設","宜野湾市我如古１丁目３４－５",,
"あさひ歯科医院","宜野湾市我如古２－３２－１８",,
"中澤歯科医院","宜野湾市我如古２－３－７",,
"パワー２″・歯科","宜野湾市我如古３－１２－１７シティーライツ我如古１０３号",,
"仲村歯科※会員施設","宜野湾市我如古４－５－６",,
"おさむファミリー歯科クリニック ※会員施設","宜野湾市喜友名１丁目３１－２番地",,
"ホワイト歯科","宜野湾市宜野湾３丁目２番２６号",,
"しらゆり歯科","宜野湾市志真志１－１－２",,
"もりや歯科医院","宜野湾市志真志１－６－５朝孝ビル１階",,
"エンゼル歯科※会員施設","宜野湾市字宇地泊２６５－１",,
"医療法人翔志会　なかむら歯科医院 ※会員施設","宜野湾市上原１－６－５",,
"比嘉歯科医院※会員施設","宜野湾市新城１－３６－１",,
"いすの木デンタルクリニック","宜野湾市新城１－５－１２",,
"仲尾歯科医院※会員施設","宜野湾市真栄原１－１０－５",,
"生田歯科医院","宜野湾市真栄原３－３５－３",,
"渡瀬歯科","宜野湾市真志喜２－１－１",,
"太陽歯科医院","宜野湾市真志喜２－１１－１",,
"はごろもファミリー歯科※会員施設","宜野湾市真志喜２－１３－１３，１Ｆ",,
"ハート歯科","宜野湾市神山一丁目５番６５号",,
"医療法人　健歯会　わかばの森歯科医院 ※会員施設","宜野湾市赤道１－１－１",,
"パール歯科","宜野湾市赤道１－３－１",,
"大山歯科クリニック","宜野湾市大山４－２－５",,
"ライフデンタルクリニック","宜野湾市大山６－２４－９",,
"ともえ歯科クリニック","宜野湾市大謝名１－１７－３３ＢＡＲＮビル",,
"医療法人照道会　オリーブ歯科医院","宜野湾市大謝名１－２－２",,
"じのん矯正歯科クリニック","宜野湾市大謝名１７２番地",,
"あつみ歯科医院※会員施設","宜野湾市大謝名１丁目１５番１４号",,
"マリーナ歯科クリニック","宜野湾市大謝名２２２番地　ルビア１Ｆ",,
"優和デンタルクリニック","宜野湾市長田１－１９－１０",,
"長田歯科医院※会員施設","宜野湾市長田３－３５－９",,
"中原歯科医院※会員施設","宜野湾市普天間１－１０－１４",,
"高橋歯科医院※会員施設","宜野湾市普天間１－２６－８",,
"てぃーだ歯科","宜野湾市普天間２丁目１４－１　サンフティーマ",,
"のだけ歯科クリニック ※会員施設","宜野湾市野嵩１－９－１５メゾン松川１０１号",,
"あらかき歯科クリニック ※会員施設","宜野湾市野嵩２－３４－９",,
"あら歯科医院 ※会員施設","宜野湾市野嵩２丁目２番３号",,
"デイゴ歯科医院","宜野湾市野嵩４－１－１３",,
"大久保歯科","国頭郡恩納村瀬良垣４６９番地",,
"和歯科","国頭郡恩納村冨着５７６－１－２Ｆ",,
"まつだ歯科医院","国頭郡宜野座村字松田６３６－１",,
