"facility_name","home_care","facility_type_id","郵便番号","都道府県名","市町村名","住所","マップ_lat","マップ_lng","telphone","fax","representative","homepage","available_time_mon","available_time_tue","available_time_wed","available_time_thu","available_time_fri","available_time_sat","available_time_sun","person","correspondence_dept","correspondence_time","open_24hours","foreign_language","related_facilities","options","note","publish","user_id","created_at","updated_at"
"南城市社協大里いきいきデイサービスセンター",,"10",9011206,"沖縄県","南城市","大里仲間918",26.1755876,127.7451842,"098-946-2256","098-946-1175","阿嘉広雄","http://www.nanjo-shakyo.com","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","日曜日、年末年始（12/31～1/1）は休み　/　祝日はサービス提供あり（8：30～17：30）","生活相談員：上原正人",,,,,"南城市社協居宅介護支援、訪問介護","男性利用者も多く利用しています。
利用者へ合わせた食事形態食を温かいうちに提供しています。","介護予防サービスの実施あり。","1",,"2018-01-04","2018-03-19"
"ﾃﾞｲｻｰﾋﾞｽ　一番座",,"10",9011406,"沖縄県","南城市","佐敷屋比久65番地",26.1769612,127.8022097,"098-947-4488","098-947-4105",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス　はいさい",,"10",9011414,"沖縄県","南城市","佐敷字津波古1354の1",26.1850262,127.7736368,"098-852-5255","098-852-5250",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"あいけい大里デイサービス",,"10",9011204,"沖縄県","南城市","大里字稲嶺1995番地の1-2階",26.1696743,127.7409404,"098-852-7470","098-852-7457",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄メディカルデイサービスセンター",,"10",9011415,"沖縄県","南城市","佐敷新開1番地344　沖縄ﾒﾃﾞｨｶﾙ福祉総合ｾﾝﾀｰ1階",26.1754939,127.7773286,"098-947-3556","098-947-0336",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス陽だまりの丘",,"10",9010612,"沖縄県","南城市","玉城當山8-1",26.1427722,127.7670079,"098-852-6111","098-852-6112","中原美波","http://www.aonosora-okinawa.com","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","8：30～17：30","日曜日、年末年始（12/31～1/2）は休み　/　祝日はサービス提供あり（8：30～17：30）","久保田、中原","デイサービス陽だまりの丘",,,,"居宅介護支援事業所","誰もが輝いて暮らしていける社会を創造します。
高齢者福祉を通じて社会に貢献します。","介護予防サービスの実施あり。
柔道整体士勤務","1",,"2018-01-04","2018-03-19"
"えがおデイサービス",,"10",9011204,"沖縄県","南城市","大里稲嶺1317番１",26.1590061,127.7323433,"098-852-7840","098-852-7841",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスセンターオリーブ",,"10",9011414,"沖縄県","南城市","佐敷津波古1755番地",26.182073,127.7670702,"098-947-1006","098-947-0998",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"しらゆりの園デイサービスおおざと",,"10",9011207,"沖縄県","南城市","大里字古堅820-1",26.19297,127.740627,"098-917-0624","098-917-0654","宮城憲太","http://www.sirayuri.or.jp","9：00～16：30","89：00～16：30","9：00～16：30","9：00～16：30","9：00～16：30","9：00～16：30","日曜日、年末年始（12/31～1/2）は休み　/　祝日はサービス提供あり（9：00～16：30）","生活相談員：上原　恵",,,,,"しらゆりの園地域密着型特別養護老人ホームおおざとに併設。","パワーリハビリテーション：日常生活の動作改善や身体負担軽減を低負荷、反復運動にてマシンにて行います。
セルフプラン：活動メニューを準備していますのでご自身で決めていただき自主性を尊重し、メリハリのある一日を過ごしていただきます。
自立支援：パワーリハビリ、自立支援介護を行い利用者が元気になるお手伝いをします。
利用定員は20名","介護予防サービスの実施あり。
短時間のサービス提供なし。","1",,"2018-01-04","2018-03-19"
"デイサービスセンター　かな杜",,"10",9011403,"沖縄県","南城市","佐敷字佐敷1204－1",26.1665893,127.7852365,"098-947-1088","098-947-1087","謝敷千恵子",,"8:00-17:00","8:00-17:00","8:00-17:00","8:00-17:00","8:00-17:00","8:00-17:00","祝8:00-17:00","デイサービス　かな杜","中山龍一","指定なし",,,"那覇市末吉町：デイサービス　ゆがふ
那覇市繁多川：デイサービス　美ら島","デイサービスかな杜では、利用者様が自立した生活を送るために、必要な機能訓練やマッサージをはじめ、1年を通して季節を感じられる楽しい行事やレクリエーション、毎月の誕生会など提供させていただきます。
また、利用される方が楽しく日々を送れるよう経験豊富なスタッフが心を込めて皆様の生きがいつくり,自立に向けてのお手伝いをさせていただきます。","定休日：日曜日/1/1
介護予防サービスの実施/短時間のサービス提供あり。
male：kanamoriokinawa@gmail.com
","1",,"2018-01-04","2018-04-04"
"デイサービスなんじょう苑",,"10",9011203,"沖縄県","南城市","大里大城2005-1",26.1719352,127.7523115,"098-917-0358","098-917-0359","新垣憲良","http://www.nanjyoen.com","9:00～17：00","9:00～17：00","9:00～17：00","9:00～17：00","9:00～17：00","9:00～17：00","日曜日は休み　/　祝日はサービス提供あり（9：00～17：00）","相談員：新垣、高江州","なんじょう苑","月～土（9：00～17：00）",,,"有料老人ホームなんじょう苑
訪問看護ステーション緑","訪問看護併設のため重度の方でも受け入れ可能です。","介護予防サービスの実施あり。
短時間のサービス提供あり（9：00～16：30）","1",,"2018-01-04","2018-03-19"
"しらゆりの園デイサービスちねん",,"10",9011511,"沖縄県","南城市","知念字久手堅275-3",26.171093,127.8257689,"098-948-1000","098-948-7022","友名孝子","http://www.sirayuri.or.jp","9:00～16：30","9:00～16：30","9:00～16：30","9:00～16：30","9:00～16：30","9:00～16：30","日曜日、年末年始（12/31～1/2）は休み　/　祝日はサービス提供あり（9:00～16：30）","運天真紀","しらゆりの園デイサービスちねん","月～土（10：00～16：00）",,,"特別養護老人ホーム「しらゆりの園」、指定短期入所生活介護（ショートスティ）、グループﾟホーム","「自立支援」を目指して「パワーリハビリ」低負荷で反復してマシンで運動することによって「使っていない筋肉」を再活性化させることで
日常生活動作改善や身体の負担軽減を行い、利用者様が「元気になる」お手伝いを行っています。","介護予防サービスの実施あり。
短時間のサービス提供はケアマネジャーのケアプランにより受け入れしています。","1",,"2018-01-04","2018-03-19"
"デイサービスにふぇーでーびる",,"10",9011412,"沖縄県","南城市","佐敷字新里518番地",26.1734884,127.7750955,"098-963-9905","098-963-9907",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"通所介護　うりずん",,"10",9011301,"沖縄県","島尻郡与那原町","板良敷1281番地の１",26.1907478,127.7698563,"098-944-7000","098-944-7003",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"与那原日の出園デイサービスセンター",,"10",9011303,"沖縄県","島尻郡与那原町","与那原3782番地の１",26.1977359,127.763573,"098-946-5134","098-945-3010",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"通所介護サービス　ふくよか",,"10",9011303,"沖縄県","島尻郡与那原町","字字与那原431番地",26.202027,127.7572871,"098-944-2139","098-944-5502",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスセンター東浜",,"10",9011304,"沖縄県","島尻郡与那原町","東浜22番地5",26.206535,127.7624254,"098-946-9233","098-946-9133",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスセンターほがらか",,"10",9011303,"沖縄県","島尻郡与那原町","与那原1122番地ほがらか苑　与原１階",26.210593,127.759772,"098-945-0556","098-945-0560","照屋　義実","http://www.terumasa-hogaraka.com/","9:00－16:30","9:00-16:30","9:00-16:30","9:00-16:30","9:00-16:30","9:00-16:30","9:00-16:30","施設長:長嶺　浩平","施設長:長嶺　浩平","指定なし",,,"併設：ほがら苑与原(よーばる）
関連機関：デイサービスほがらかおおみたけ・有料老人ホームほがらか苑おおみたけ
","重度認知症者，介護度の高い方,個別対応,ご利用者様のペースに合わせた寄り添ったケアを目指しており,ご本人様,ご家族のご意見を尊重し他職種を含む職員全体でカンファレンスを行い,ご利用者様が余生を生き生きのびのび生活できるような環境作りに力を入れております。","備考:デイサービス定員34名/看護師2名/機能訓練指導員(柔道整復師）2名/介護員18名(介護福祉士所持者11名）相談員4名
年中無休(台風・地震等やむを得ない日を除く）
介護予防サービスの実施/短時間のサービス提供あり","1",,"2018-01-04","2018-04-04"
"与那原在宅ケアセンター　デイサービスがじゅまるの花",,"10",9011303,"沖縄県","島尻郡与那原町","与那原1792番地１",26.206257,127.7533288,"098-882-9300","098-882-9303",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスほがらか　おおみたけ",,"10",9011303,"沖縄県","島尻郡与那原町","字与那原2916番地－１",26.2022823,127.7498016,"098-988-6555","098-988-6581","照屋　義実","http://www.terumasa-hogaraka.com","9:30‐16:30","9:30‐16:30","9:30‐16:30","9:30‐16:30","9:30‐16:30","9:30‐16:30","9:30‐16:30","相談員:小手川　米子","相談員:小手川　米子","指定なし",,,"有料老人ホームほがらか苑　おおみたけ","元気に運動・リハビリをしたい方のご利用をお待ちしております。","・介護予防サービスの実施/短時間のサービス提供あり","1",,"2018-01-04","2018-04-04"
"しらゆりの園デイサービスうえよなばる",,"10",9011302,"沖縄県","島尻郡与那原町","上与那原464番地",26.1995853,127.7478436,"098-946-4506","098-946-4504",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"沖縄第一病院通所介護センター",,"10",9011111,"沖縄県","島尻郡南風原町","字兼城642番地の１",26.194913,127.7259764,"098-888-1151","098-888-1367","高嶺邦太",,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝日:8:30-17:30","管理者：高嶺邦太",,"10:30－17:00",,,"沖縄第一病院
介護老人保健施設　おおざと信和苑
有料老人ホーム　そよかぜ",,"定休日：日曜日
介護予防サービスの実施/短時間のサービス提供(9：30~14：00）あり。","1",,"2018-01-04","2018-04-04"
"嬉の里デイサービスセンター",,"10",9011105,"沖縄県","島尻郡南風原町","字新川538番地",26.2036593,127.7283145,"098-888-0591","098-888-0592","田崎公子","http://www.chihirokai.or.jp","9:30-16:35","9:30-16:35","9:30-16:35","9:30-16:35","9:30-16:35","9:30-16:35","祝日:9:30-16:35","大濱　ゆり",,"指定なし",,,"介護老人福祉施設　嬉野の里
嬉野の里　指定居宅介護支援事業所
特定有料老人ホーム　むつみ寮
","住み慣れた自宅での生活が続けられるように生活課題の把握に努め課題解決にプログラム提供を心掛けています。","定休日：日曜日/12/31~1/3及び旧盆(旧7/15)
介護予防サービスの提供あり。短時間のサービス提供無し。
","1",,"2018-01-04","2018-04-05"
"デイサービスセンター　はくあい",,"10",9011105,"沖縄県","島尻郡南風原町","字新川452番地－１",26.2075479,127.7250968,"098-889-4830","098-889-4031","仲本政雄","http://hakuai-hsp.jp","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","なし","日曜日は休み、祝日8:30-17:30","大城一成",,"指定なし",,,"医療法人フェニックス　博愛病院
グループホーム　オアシス
有料老人ホーム　ユートピア","①楽しい毎日②温かい触れ合い③明るい活動④元気な未来⑤安心とがんじゅーと生きがいをいついつまでも…をモットーに日常生活の支援や生活機能向上のための機能訓練,レク活動,季節行事等サービスを提供しています。
個性豊かなスタッフが一丸となり,利用者様が住み慣れた地域でいつまでも幸せに暮らしていけるよう、これからも家族の一員となり個々のニーズに合わせた寄り添う介護を心掛けて支援を続けていきます。","定休日：土曜・日曜日/12/31~1/3
介護予防支援のサービス実施あり。
短時間のサービス提供なし。
柔道整復師配置","1",,"2018-01-04","2018-05-30"
"デイサービス　せせらぎ",,"10",9011105,"沖縄県","島尻郡南風原町","新川164－1",26.2034787,127.727348,"098-888-5771","098-888-5772","代表取締役：志慶真光子",,"9：30－17：00","9：30－17：00","9：30－17：00","9：30－17：00","9：30－17：00","9：30－17：00","祝9：30‐17：00","下地千穂",,"指定なし",,,,,"定休日：日曜日/12/31~1/2
介護予防サービスの実施/短時間のサービス提供あり。","1",,"2018-01-04","2018-04-04"
"通所介護事業所　寿デイサービス",,"10",9011104,"沖縄県","島尻郡南風原町","宮平490番地の1",26.2006514,127.7330837,"098-889-5785","098-889-5774",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ﾃﾞｲｻｰﾋﾞｽ　「とき」",,"10",9011104,"沖縄県","島尻郡南風原町","宮平426番地19",26.2057508,127.730317,"098-888-0515","098-888-0516","施設長：安谷屋　直","http://toki-kaigo.com/","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝8:30-17:30","稲福司・城間志乃",,"月~土　8：30－17：30",,,"居宅介護支援センター｢とき｣
住宅型有料老人ホーム　とき","第一義的には、少人数による家庭的雰囲気のケアを大切に。要支援・要介護者がより自分らしい生活を送って頂く支援として通って泊まって住む事ができる機能を提供しています。","協力病院：沖縄第一病院・与那原中央病院。
その他：訪問看護・訪問診療・訪問歯科等の他機関の受け入れあり。

定休日：日曜日/12/31~1/2　旧盆(旧暦8/15）
介護予防サービスの実施あり。短時間のサービス提供なし。","1",,"2018-01-04","2018-04-04"
"はえばる日の出園デイサービスセンター",,"10",9011103,"沖縄県","島尻郡南風原町","字新川501番地",26.1993768,127.7405081,"098-888-3330","098-888-1168","管理者：新垣すま子","http://nantoukai.com","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝8:30-17:30","相談員：石川真弘",,"指定なし",,,"住宅有料老人ホーム　はえばる日の出園
はえばる日の出園　居宅介護支援事業所","開所7年目を迎えるはえばる日の出園デイサービスセンターでは、理学療法士2名を配置しマンツーマンでのパワーリハビリやリラクゼーションマッサージなどのリハビリを強化した取り組みを行っております
すべての利用者様と職員が笑顔になれる関係を築き、不安なく楽しい環境作りを心がけてます。","定休日：日曜日/年末年始(12/31~1/3)
介護予防サービスの実施/短時間のサービス提供あり(9：30~13：30/12：45~16：45）
","1",,"2018-01-04","2018-04-04"
"デイサービスはっぴー",,"10",9011111,"沖縄県","島尻郡南風原町","字兼城270-1",26.1968101,127.7286288,"098-987-1611","098-987-1613","親川郁子",,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝日:8:30-17:30","渡久地千春",,"指定なし",,,"デイサービスはっぴー喜屋武・訪問看護ステーションはっぴー
デイサービスはっぴー前川・介護タクシーはっぴー
訪問介護はっぴー・有料老人はっぴー","利用者主体で利用者の立場に立ったサービスの提供を行うと共に、生活の質を高め、利用者や家族、地域の皆様又、関係機関との連携を密にし、信頼に答えられるサービスの提供に努めます。","定休日：日曜日
介護予防サービスの実施/短時間のサービス提供(9：４５~16：００）あり。
male：dayservice-happy@ivy.ocn.ne.jp
","1",,"2018-01-04","2018-04-04"
"デイサービス　フェアネス城",,"10",9011103,"沖縄県","島尻郡南風原町","与那覇531番地",26.2005711,127.7404164,"098-882-6517","098-882-6516",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスセンター　ベストかねぐすく",,"10",9011111,"沖縄県","島尻郡南風原町","兼城265-10",26.1962241,127.7287761,"098-888-4151","098-888-4152","管理者：名嘉優介",,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝日:8:30-17:30","管理者：名嘉優介","デイサービスセンターベストかねぐすく","月~土　9:00~17:00",,,"有料老人ホーム(2~4階）計33床
訪問看護ステーション","他事業所との併用可能な事業所であり、訪問看護事業所との連携により、医療ニーズの高い方の受け入れも可能です。","定休日：日曜日/1/1~1/3
介護予防サービスの実施/短時間のサービス提供(ケアプランに基づき対応可）あり。","1",,"2018-01-04","2018-04-04"
"デイサービスフェアネス津嘉山",,"10",9011117,"沖縄県","島尻郡南風原町","津嘉山1311番地2　１階",26.1937545,127.7130999,"098-996-1623","098-888-6501",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスはっぴー喜屋武",,"10",9011113,"沖縄県","島尻郡南風原町","喜屋武182－1",26.1886527,127.7287682,"098-996-1206","098-996-1207","親川郁子",,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝日:8:30-17:30","管理者：親川加奈",,"指定なし",,,"デイサービスはっぴー・訪問看護ステーションはっぴー・
デイサービスはっぴー前川・介護タクシーはっぴー
訪問介護はっぴー・有料老人ホームはっぴー
","利用者主体で利用者の立場に立ったサービスの提供を行うと共に、生活の質を高め、利用者やご家族、地域の皆様又、関係機関との連携を密にし、信頼に応えられるサービスの提供に努めます。","定休日：日曜日/12/31~1/3
介護予防サービスの実施/短時間のサービス提供あり(9：45~16：00）","1",,"2018-01-04","2018-04-04"
"あいけい兼城デイサービス",,"10",9011111,"沖縄県","島尻郡南風原町","字兼城214番地の2",26.196835,127.726304,"098-996-2266","098-996-2267",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス　カインド",,"10",9011117,"沖縄県","島尻郡南風原町","津嘉山1315番地１　カノンビル",26.1940418,127.712938,"098-851-8873","098-851-8873",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"医療法人助和の会　東風平第一医院",,"10",9010411,"沖縄県","島尻郡八重瀬町","字友寄42番地",26.1703381,127.7210339,"098-998-6987","098-998-6978",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"南部徳洲会病院　通所介護事業所",,"10",9010493,"沖縄県","島尻郡八重瀬町","字外間80番地　１階(1単位目）　6階(2単位目）",26.1778154,127.7145891,"098-998-3064","098-998-0763","鈴木隆夫","http://www.nantoku.org","8:30-17:00","8:30-17:00","8:30-17:00","8:30-17:00","8:30-17:00","8:30-17:00","祝日:8:30-17:00","管理者：上原康弘",,"月~土　9:00~17:00",,,"南部徳洲会病院・居宅介護支援事業所・通所リハビリテーション事業所・訪問看護ステーションいこい・ヘルパーステーションいこい・介護付き有料老人ホーム徳洲苑かふう(特定施設入居者生活介護）","病院併設事業所の為、医療機関との連携がスムーズに図られ、利用者のニーズに合った援助が受けられます。","定休日：日曜日/1/1~1/3
介護予防支援サービスの実施あり。","1",,"2018-01-04","2018-04-04"
"通所介護事業所　東風の里",,"10",9010411,"沖縄県","島尻郡八重瀬町","友寄891番地の１",26.1696659,127.7255029,"098-998-9390","098-998-9393",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ときわ苑デイサービスセンター",,"10",9010414,"沖縄県","島尻郡八重瀬町","字当銘378番の１",26.1516441,127.6987229,"098-998-8899","098-998-8099","金城　武","http://tokiwaen.or.jp/","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","仲本浩和、仲座学","ときわ苑デイサービスセンター","指定なし",,,"特別養護老人ホーム　ときわ苑",,"定休日：１2/31~1/3(台風・天災・その他やむを得ず業務を遂行できない日を除く）
介護予防サービスの実施/短時間のサービス提供あり。","1",,"2018-01-04","2018-04-04"
"転生園指定通所介護事業所",,"10",9010514,"沖縄県","島尻郡八重瀬町","安里670番地",26.1226276,127.7280176,"098-998-7516","098-998-7653","幸地　伸","http://tenshoen.or.jp/","8:00-17:30 ","8:00-17:30 ","8:00-17:30 ","8:00-17:30 ","8:00-17:30 ","8:00-17:30 ","8:00-17:30 ","金城　直美",,"月~土　10:00-16:00",,,,"ﾊﾟﾜﾘﾊ等、リハビリ機器が充実","介護予防サービスの実施(日曜日は除く）/短時間のサービス提供(9:00-13:00）あり","1",,"2018-01-04","2018-04-04"
"デイサービスセンター愛の郷",,"10",9010516,"沖縄県","島尻郡八重瀬町","仲座1074番地２",26.1159335,127.7169548,"098-998-4104","098-998-4187",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"あしみじ　デイサービスセンター",,"10",9010512,"沖縄県","島尻郡八重瀬町","字具志1099-1番地",26.1275944,127.7511018,"098-998-6680","098-998-6658","森下里美",,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","なし","祝8:30-17:30","相談員：久家可奈",,"平日：9:00~16:00",,,,,"定休日：土日
介護予防サービスの実施あり。
male：yuashimiji@yahoo.co.jp","1",,"2018-01-04","2018-04-04"
"デイサービス　やえせ",,"10",9010406,"沖縄県","島尻郡八重瀬町","字屋宜原167番１　ちぶみ　やえせ１階",26.160622,127.724825,"098-998-0815","098-998-0814",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"指定通所介護事業所えーじ",,"10",9010405,"沖縄県","島尻郡八重瀬町","字伊覇60番地７丸栄マンション１階",26.1579767,127.7214006,"098-835-7878","098-835-7888",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス ぐしちゃん",,"10",9010512,"沖縄県","島尻郡八重瀬町","字具志1241番地1",26.1310941,127.7490908,"098-996-0001","098-996-0003","代表取締役:新垣　隆資",,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝日:8:30-17:30","所長:稲福　務",,"8:30-17:30",,,"※居宅介護支援事業所
※住宅型有料老人ホーム",,"定休日：日曜日/年末年始(12/30~1/2）
介護予防サービスの実施/短時間のサービス提供あり","1",,"2018-01-04","2018-04-04"
"デイサービスセンター花庭",,"10",9010516,"沖縄県","島尻郡八重瀬町","仲座420番地１",26.1082566,127.7214543,"098-995-6801","098-995-6803","幸地　伸","http://tenshoen.or.jp","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝日:8:30-17:30","照屋　規琢",,"月~土：10:00-16:00",,,"サービス付き高齢者向け住宅花庭","自然に囲まれた緑豊かな庭園での散策ができる立地にある","定休日：日曜日・1/1~１/２
介護予防サービス実施/短時間のサービス提供あり(9:15~13:00）
※柔道整復師配置
","1",,"2018-01-04","2018-04-04"
"デイサービス　新緑の里",,"10",9010401,"沖縄県","島尻郡八重瀬町","東風平192番地8",26.1506086,127.7164627,"098-998-4165","098-998-4168","玉城　剛",,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","祝日:8:30-17:30","管理者：浦底貴彦","デイサービス","指定なし",,,"有料老人ホーム　新緑の里
訪問介護　新緑の里","とても明るく良いもの吸収して楽しく笑顔のある施設です。バランスのとれた食事も提供しています。","定休日：日曜日・旧盆・12/31~1/3
介護予防サービスの実施/短時間のサービス提供あり。","1",,"2018-01-04","2018-04-04"
"デイサービス でいご",,"10",9010361,"沖縄県","糸満市","字糸満1505番地3",26.125723,127.6743862,"098-992-3838","098-852-3005",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"東西 デイサービスセンター",,"10",9010335,"沖縄県","糸満市","米須249番地",26.0950788,127.696685,"098-997-5212","098-997-5213",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス日々草",,"10",9010311,"沖縄県","糸満市","武富595番地の272",26.1661323,127.7056942,"098-994-0238","098-994-0238",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスセンター珊瑚",,"10",9010364,"沖縄県","糸満市","潮崎町4丁目8-13",26.1164398,127.663627,"098-840-3500","098-840-3381",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイフィットあいのわ糸満",,"10",9010364,"沖縄県","糸満市","潮崎町4-28-20　１階",26.1178123,127.6624482,"098-996-3434","098-996-3435",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスわっしょい",,"10",9010312,"沖縄県","糸満市","北波平320番地",26.1589462,127.6924763,"098-851-9986","098-851-9987",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス里のガーデン",,"10",9010325,"沖縄県","糸満市","大里623番地７",26.1299481,127.6896434,"098-996-2831","098-996-2846",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス　ちむぐくる",,"10",9010201,"沖縄県","豊見城市","真玉橋190-3　友アパート101号",26.1921275,127.6916369,"098-840-6958","098-840-6959",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"いちゃりばちょうでぃー豊見城",,"10",9010212,"沖縄県","豊見城市","平良151番地の2",26.1682013,127.695512,"098-856-1233","098-856-1232",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"桜山荘ﾃﾞｲｻｰﾋﾞｽｾﾝﾀｰ未来館",,"10",9010212,"沖縄県","豊見城市","平良188番地23",26.169079,127.6948898,"098-996-2510","098-996-2512",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"リハビリデイサービスぴたさぽ豊見城",,"10",9010244,"沖縄県","豊見城市","宜保310番地１　コーポＴＯＫＩ　１階101号",26.1777702,127.6757009,"098-851-0088","098-851-0080",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス　なかゆくい処",,"10",9010213,"沖縄県","豊見城市","高嶺173-1　１Ｆ",26.1689011,127.6904431,"098-955-4128","098-955-4128",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"しらゆりの園デイサービスつはこ",,"10",9011414,"沖縄県","南城市","佐敷津波古937-1",26.1855234,127.7741284,"098-947-0777","098-947-4350",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"かふぇてりあ　愛日和　デイサービス",,"10",9010617,"沖縄県","南城市","玉城愛地361番地",26.1606778,127.7447792,"098-948-4071","098-948-4072",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス　愛里寿",,"10",9010607,"沖縄県","南城市","玉城喜良原113番地1",26.1537236,127.7768432,"098-948-7136","098-948-1693",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス　まんぐろーぶ",,"10",9011513,"沖縄県","南城市","知念字知念614番地",26.1602294,127.8145482,"098-852-6556","098-852-6555",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスすまいる南城",,"10",9011407,"沖縄県","南城市","字つきしろ1739番地43",26.1619345,127.7954108,"098-948-7765","098-948-7762",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"リハビリ特化型デイサービス　カラダラボ南城船越",,"10",9010618,"沖縄県","南城市","玉城船越773-１",26.1569294,127.7488682,"098-988-9705","098-988-9706",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービスすまいるLife",,"10",9011415,"沖縄県","南城市","佐敷字新開1番地114",26.1767409,127.7751065,"098-988-1061","098-988-1062",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ハピネス百名",,"10",9010603,"沖縄県","南城市","玉城字百名7番地",26.1416723,127.7920895,"098-917-1366","098-917-1367",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ファミリー通所介護事業所",,"10",9011303,"沖縄県","島尻郡与那原町","与那原3585番地",26.20013,127.7584538,"098-944-2519","098-946-1210",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"ディサービスセンター和ごころ",,"10",9011303,"沖縄県","島尻郡与那原町","字与那原1771番地",26.20381,127.7515597,"098-963-5755","098-946-5759",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス フェアネス",,"10",9011112,"沖縄県","島尻郡南風原町","字本部490番地6",26.1924161,127.7271237,"098-987-1901","098-987-1902",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
"デイサービス くばの葉",,"10",9011105,"沖縄県","島尻郡南風原町","字新川522番地　１Ｆ",26.2121224,127.7289668,"098-911-1058","098-911-1058",,,,,,,,,,,,,,,,,,"1",,"2018-01-04","2018-02-13"
